,job title,company,region,skills required,is remote?,is fresher?
212,Data scientist,Techvantage Systems,Thiruvananthapuram,,No,NA
213,Data scientist,Bosch Group,Coimbatore,,No,NA
214,Data scientist,TALCHEMIST,Bengaluru,,No,NA
215,Data scientist,Getinz,Bengaluru,,No,NA
216,Data scientist,Husk Power Systems,Pune,"Data Structure, Etl",No,No
217,Data scientist,Emerging India Group,Noida,,No,No
218,Data scientist,West Pharmaceutical Services,Bengaluru,Stat,No,No
219,Data scientist,FIS Global,Pune,,No,No
220,Data scientist,Mercedes-Benz Research and Development India...,Bengaluru,,No,NA
221,Data scientist,Prognoz,Remote,,Yes,No
222,Data scientist,Athena,Remote,,Yes,NA
223,Data scientist,Retisio,Bengaluru,"Data Mining, Etl",No,NA
224,Data scientist,Crayon Data,India,,No,No
225,Data scientist,Goldman Sachs,Hyderabad,Stat,No,No
226,Data scientist,Maruti Suzuki India Ltd,Bengaluru,,No,NA
227,Data scientist,Mahindra Teqo,Bengaluru,Big Data,No,NA
228,Data scientist,Guires Solutions Pvt Ltd,Chennai,Machine Learning,No,NA
229,Data scientist,Qualcomm,Hyderabad,,No,NA
230,Data scientist,Ignitho,Chennai,,No,NA
231,Data scientist,CSG,Hybrid remote in Bengaluru,,Yes,NA
232,Data scientist,BT Group,Bengaluru,,No,NA
233,Data scientist,Kpro Solutions,Bengaluru,"Python,  R ",No,No
234,Data scientist,Microsoft,Noida,,No,No
235,Data scientist,66degrees,Remote in Mysore,,Yes,No
236,Data scientist,Gainwell Technologies LLC,Remote in Chennai,Python,Yes,No
237,Data scientist,Neosoft Technologies Pvt.Ltd,Mumbai,Etl,No,NA
238,Data scientist,qtech,Mumbai,,No,No
239,Data scientist,BigShyft,Gurgaon,Python,No,NA
240,Data scientist,Citi,Bengaluru,,No,NA
241,Data scientist,Tredence,India,,No,NA
242,Data scientist,Oracle,Bengaluru,Data Structure,No,NA
243,Data scientist,Worldline,Remote in Mumbai,,Yes,NA
244,Data scientist,Fractal Analytics,Mumbai,Etl,No,NA
245,Data scientist,JPMorgan Chase & Co,Bengaluru,Machine Learning,No,NA
246,Data scientist,TCG Digital,Kolkata,,No,No
247,Data scientist,Colruyt IT Consultancy India,Hyderabad,,No,NA
248,Data scientist,NOKIA,Noida,Deep Learning,No,NA
249,Data scientist,FloBiz,Bengaluru,Machine Learning,No,No
