,job title,company,region,skills required,is remote?,is fresher?
183,Data analyst,dharma.h,Dhakuria,,No,NA
184,Data analyst,PwC,Kolkata,,No,NA
185,Data analyst,JPMorgan Chase & Co,Bengaluru,,No,No
186,Data analyst,Deutsche Bank,Jaipur,,No,No
187,Data analyst,Software AG,Bengaluru,,No,Yes
188,Data analyst,ABB,Bengaluru,,No,No
189,Data analyst,Netradyne,Bengaluru,,No,No
190,Data analyst,Start.io,Bengaluru,,No,NA
191,Data analyst,"Cytel, India",India,,No,Yes
192,Data analyst,Merkle,Pune,,No,NA
193,Data analyst,FedEx Express MEISA,Mumbai,,No,NA
194,Data analyst,Mordor Intelligence,Remote,Data Visualization,Yes,NA
195,Data analyst,Auric search,Mumbai,,No,No
196,Data analyst,CC Staffing International,Remote in Bengaluru,Data Visualization,Yes,NA
197,Data analyst,Camsdata,Bengaluru,Python,No,No
198,Data analyst,Ardem Incorporated,Remote in Lucknow,,Yes,NA
199,Data analyst,Recruise India Consulting Pvt Ltd,Bengaluru,"Data Visualization, Excel",No,Yes
200,Data analyst,Accenture,Bengaluru,,No,NA
201,Data analyst,Harjai Computers Private Limited,Mumbai,Data Visualization,No,NA
202,Data analyst,Vantage Circle,Guwahati,,No,NA
203,Data analyst,Everest Fleet Pvt Ltd,Chennai,"Excel, Database",No,Yes
204,Data analyst,Xpheno,Bengaluru,,No,Yes
205,Data analyst,Amol Technologies,Pune,,No,No
206,Data analyst,Vizva Pvt Ltd,Ahmedabad,,No,NA
207,Data analyst,Infosys,Pune,,No,NA
208,Data analyst,Payatu,Remote in Pune,,Yes,NA
209,Data analyst,E2E Infoware Management Services,Bengaluru,Big Data,No,NA
210,Data analyst,JPMorgan Chase & Co,Mumbai,,No,NA
211,Data analyst,Standard Chartered,Chennai,"Data Visualization,  Sql ",No,NA
212,Data analyst,Helius Technologies,India,,No,NA
213,Data analyst,NovoTree Minds Consulting,Bengaluru,Excel,No,NA
214,Data analyst,BlackRock,Hybrid remote in Gurgaon,,Yes,NA
215,Data analyst,Infoblox,Bengaluru,,No,NA
216,Data analyst,Megara Infotech,Gurgaon,Excel,No,NA
217,Data analyst,Smart Ship,Pune,,No,NA
218,Data analyst,BBS,Gurgaon,,No,No
219,Data analyst,Directi,Mumbai,,No,No
220,Data analyst,Infosys,Hyderabad,,No,No
221,Data analyst,GXO Logistics,Mumbai,,No,Yes
222,Data analyst,EY,India,,No,NA
223,Data analyst,Creditas Solutions,Gurgaon,,No,NA
224,Data analyst,XopunTech,Guwahati,,No,NA
225,Data analyst,Pilgrim,Mumbai,,No,Yes
226,Data analyst,JPMorgan Chase & Co,Mumbai,,No,NA
227,Data analyst,ABB,Bengaluru,,No,NA
228,Data analyst,Deloitte,Hyderabad,,No,NA
229,Data analyst,KPMG,Mumbai,,No,No
230,Data analyst,Injazat,Remote in Chennai,,Yes,NA
231,Data analyst,KUSHAL'S FASHION JEWELLERY,Bengaluru,"Data Visualization, Tableau",No,No
232,Data analyst,Havas Group,Mumbai,"Data Structure, Database",No,NA
233,Data analyst,MOLTRESS HOSPITALITY PRIVATE LIMITED,Chennai,,No,NA
234,Data analyst,Accenture,Hyderabad,Dashboard,No,NA
235,Data analyst,Parati,Remote in Haryana,,Yes,NA
236,Data analyst,BT Group,Bengaluru," Sql , Etl",No,NA
237,Data analyst,Dr.Reddy's,Hyderabad,Excel,No,No
238,Data analyst,SAM Global University Bhopal,Bhopal,,No,No
239,Data analyst,BP Energy,Hybrid remote in Pune,,Yes,Yes
240,Data analyst,Virtusa,Hybrid remote in Bengaluru,Big Data,Yes,Yes
241,Data analyst,Nivoda,Mumbai,,No,Yes
242,Data analyst,BNC,Pune,,No,NA
243,Data analyst,Moody's,Bengaluru,,No,NA
244,Data analyst,Stats Perform,India,Machine Learning,No,NA
245,Data analyst,Pluralsight,India,,No,NA
246,Data analyst,Helius Technologies,India,"Data Visualization, Dashboard",No,No
247,Data analyst,Proclink,Ahmedabad,"Python,  R ",No,No
248,Data analyst,Bristol Myers Squibb,Remote in Hyderabad,,Yes,NA
249,Data analyst,JPMorgan Chase & Co,Hyderabad,,No,No
250,Data analyst,Unimrkt Research,Gurgaon,Database,No,NA
251,Data analyst,predera,Hyderabad,Database,No,No
252,Data analyst,YouGov,Hybrid remote in Mumbai,,Yes,No
253,Data analyst,Koch Global Services,Bengaluru,Dashboard,No,NA
254,Data analyst,Elsevier,Chennai,"Python, Stat",No,Yes
255,Data analyst,Tax Genie,Mumbai,Python,No,NA
256,Data analyst,ZeroFOX,Bengaluru,,No,Yes
257,Data analyst,HP,Bengaluru,,No,NA
258,Data analyst,HaystackAnalytics,Mumbai,,No,Yes
259,Data analyst,iXie Gaming,Bengaluru,,No,NA
260,Data analyst,SourceMash Technologies,Mohali,Powerbi,No,No
261,Data analyst,HRD India,Kolkata,,No,NA
262,Data analyst,Buzzworks,India,Data Mining,No,NA
263,Data analyst,Deloitte,Bengaluru,,No,NA
264,Data analyst,Husk Power Systems,Pune,Database,No,No
265,Data analyst,PayU,Hybrid remote in Gurgaon,Python,Yes,NA
266,Data analyst,WattSun,Ernakulam,Database,No,NA
267,Data analyst,Insight Therapy Solutions,Remote in Mumbai,,Yes,NA
